"county","tract","CountyName","hus20","afact"
"County code","Tract","County name","Total housing units (2020 Census)","tract-to-county allocation factor"
"09001","0101.01","Fairfield CT",1716,1 
"09001","0101.02","Fairfield CT",1619,1 
"09001","0102.01","Fairfield CT",1130,1 
"09001","0102.02","Fairfield CT",2186,1 
"09001","0103.00","Fairfield CT",1744,1 
"09001","0104.00","Fairfield CT",2396,1 
"09001","0105.00","Fairfield CT",2987,1 
"09001","0106.00","Fairfield CT",1249,1 
"09001","0107.00","Fairfield CT",1863,1 
"09001","0108.00","Fairfield CT",1292,1 
"09001","0109.00","Fairfield CT",1994,1 
"09001","0110.00","Fairfield CT",1923,1 
"09001","0111.00","Fairfield CT",1642,1 
"09001","0112.00","Fairfield CT",786,1 
"09001","0113.00","Fairfield CT",1150,1 
"09001","0201.01","Fairfield CT",1666,1 
"09001","0201.02","Fairfield CT",2526,1 
"09001","0202.00","Fairfield CT",1429,1 
"09001","0203.01","Fairfield CT",1393,1 
"09001","0203.02","Fairfield CT",1205,1 
"09001","0204.00","Fairfield CT",1336,1 
"09001","0205.00","Fairfield CT",1695,1 
"09001","0206.00","Fairfield CT",1733,1 
"09001","0207.00","Fairfield CT",1644,1 
"09001","0208.00","Fairfield CT",997,1 
"09001","0209.00","Fairfield CT",2291,1 
"09001","0210.00","Fairfield CT",1331,1 
"09001","0211.00","Fairfield CT",2714,1 
"09001","0212.00","Fairfield CT",1807,1 
"09001","0213.00","Fairfield CT",1877,1 
"09001","0214.01","Fairfield CT",978,1 
"09001","0214.02","Fairfield CT",1527,1 
"09001","0215.01","Fairfield CT",1320,1 
"09001","0215.02","Fairfield CT",887,1 
"09001","0216.01","Fairfield CT",1868,1 
"09001","0216.02","Fairfield CT",2279,1 
"09001","0217.01","Fairfield CT",1638,1 
"09001","0217.02","Fairfield CT",2874,1 
"09001","0218.01","Fairfield CT",1984,1 
"09001","0218.02","Fairfield CT",1957,1 
"09001","0219.00","Fairfield CT",2408,1 
"09001","0220.00","Fairfield CT",1202,1 
"09001","0221.01","Fairfield CT",1031,1 
"09001","0221.02","Fairfield CT",1695,1 
"09001","0222.01","Fairfield CT",1647,1 
"09001","0222.02","Fairfield CT",2574,1 
"09001","0223.00","Fairfield CT",2521,1 
"09001","0224.00","Fairfield CT",919,1 
"09001","0301.00","Fairfield CT",1196,1 
"09001","0302.00","Fairfield CT",1159,1 
"09001","0303.00","Fairfield CT",1524,1 
"09001","0304.00","Fairfield CT",1478,1 
"09001","0305.00","Fairfield CT",1908,1 
"09001","0351.01","Fairfield CT",1657,1 
"09001","0351.02","Fairfield CT",1684,1 
"09001","0352.00","Fairfield CT",1126,1 
"09001","0353.00","Fairfield CT",1299,1 
"09001","0354.00","Fairfield CT",1736,1 
"09001","0425.00","Fairfield CT",1493,1 
"09001","0426.00","Fairfield CT",1874,1 
"09001","0427.00","Fairfield CT",2766,1 
"09001","0428.00","Fairfield CT",1789,1 
"09001","0429.00","Fairfield CT",674,1 
"09001","0430.00","Fairfield CT",1254,1 
"09001","0431.00","Fairfield CT",1835,1 
"09001","0432.00","Fairfield CT",1205,1 
"09001","0433.00","Fairfield CT",1195,1 
"09001","0434.00","Fairfield CT",2054,1 
"09001","0435.00","Fairfield CT",1028,1 
"09001","0436.00","Fairfield CT",1295,1 
"09001","0437.00","Fairfield CT",1962,1 
"09001","0438.00","Fairfield CT",3331,1 
"09001","0439.00","Fairfield CT",2115,1 
"09001","0440.00","Fairfield CT",2436,1 
"09001","0441.00","Fairfield CT",1995,1 
"09001","0442.00","Fairfield CT",1904,1 
"09001","0443.00","Fairfield CT",1855,1 
"09001","0444.00","Fairfield CT",1258,1 
"09001","0445.00","Fairfield CT",1352,1 
"09001","0446.00","Fairfield CT",1482,1 
"09001","0451.01","Fairfield CT",1384,1 
"09001","0451.02","Fairfield CT",2056,1 
"09001","0452.00","Fairfield CT",1075,1 
"09001","0453.00","Fairfield CT",809,1 
"09001","0454.00","Fairfield CT",1243,1 
"09001","0501.00","Fairfield CT",1487,1 
"09001","0502.00","Fairfield CT",1661,1 
"09001","0503.01","Fairfield CT",1532,1 
"09001","0503.02","Fairfield CT",1527,1 
"09001","0504.00","Fairfield CT",1120,1 
"09001","0505.00","Fairfield CT",1880,1 
"09001","0506.00","Fairfield CT",1360,1 
"09001","0551.00","Fairfield CT",2061,1 
"09001","0552.00","Fairfield CT",1610,1 
"09001","0601.00","Fairfield CT",1011,1 
"09001","0602.00","Fairfield CT",1657,1 
"09001","0603.00","Fairfield CT",1388,1 
"09001","0604.00","Fairfield CT",1596,1 
"09001","0605.00","Fairfield CT",1007,1 
"09001","0606.00","Fairfield CT",1107,1 
"09001","0607.00","Fairfield CT",1898,1 
"09001","0608.00","Fairfield CT",793,1 
"09001","0609.00","Fairfield CT",926,1 
"09001","0610.00","Fairfield CT",1704,1 
"09001","0611.00","Fairfield CT",1330,1 
"09001","0612.00","Fairfield CT",880,1 
"09001","0613.00","Fairfield CT",1230,1 
"09001","0614.00","Fairfield CT",1371,1 
"09001","0615.00","Fairfield CT",1861,1 
"09001","0616.00","Fairfield CT",2223,1 
"09001","0701.00","Fairfield CT",2788,1 
"09001","0702.00","Fairfield CT",1858,1 
"09001","0703.00","Fairfield CT",477,1 
"09001","0704.00","Fairfield CT",610,1 
"09001","0705.00","Fairfield CT",761,1 
"09001","0706.00","Fairfield CT",1748,1 
"09001","0709.00","Fairfield CT",1002,1 
"09001","0710.00","Fairfield CT",1296,1 
"09001","0711.00","Fairfield CT",1631,1 
"09001","0712.00","Fairfield CT",2028,1 
"09001","0713.00","Fairfield CT",1501,1 
"09001","0714.00","Fairfield CT",1394,1 
"09001","0716.00","Fairfield CT",880,1 
"09001","0719.00","Fairfield CT",1646,1 
"09001","0720.00","Fairfield CT",1350,1 
"09001","0721.00","Fairfield CT",2739,1 
"09001","0722.00","Fairfield CT",1743,1 
"09001","0723.00","Fairfield CT",1900,1 
"09001","0724.00","Fairfield CT",956,1 
"09001","0725.00","Fairfield CT",2357,1 
"09001","0726.00","Fairfield CT",3090,1 
"09001","0727.00","Fairfield CT",1335,1 
"09001","0728.00","Fairfield CT",1973,1 
"09001","0729.00","Fairfield CT",1588,1 
"09001","0730.00","Fairfield CT",705,1 
"09001","0731.00","Fairfield CT",1856,1 
"09001","0732.00","Fairfield CT",1974,1 
"09001","0733.00","Fairfield CT",1484,1 
"09001","0734.00","Fairfield CT",1482,1 
"09001","0735.00","Fairfield CT",1343,1 
"09001","0736.00","Fairfield CT",888,1 
"09001","0737.00","Fairfield CT",2051,1 
"09001","0738.00","Fairfield CT",869,1 
"09001","0739.00","Fairfield CT",1413,1 
"09001","0740.00","Fairfield CT",883,1 
"09001","0743.00","Fairfield CT",1877,1 
"09001","0744.00","Fairfield CT",1801,1 
"09001","0801.00","Fairfield CT",1937,1 
"09001","0802.00","Fairfield CT",1657,1 
"09001","0804.00","Fairfield CT",2309,1 
"09001","0805.00","Fairfield CT",1564,1 
"09001","0806.00","Fairfield CT",1239,1 
"09001","0807.00","Fairfield CT",996,1 
"09001","0808.00","Fairfield CT",1894,1 
"09001","0809.00","Fairfield CT",1930,1 
"09001","0810.00","Fairfield CT",1788,1 
"09001","0811.00","Fairfield CT",1813,1 
"09001","0812.00","Fairfield CT",1989,1 
"09001","0813.00","Fairfield CT",2527,1 
"09001","0901.00","Fairfield CT",1243,1 
"09001","0902.00","Fairfield CT",2951,1 
"09001","0903.00","Fairfield CT",1677,1 
"09001","0904.00","Fairfield CT",2457,1 
"09001","0905.00","Fairfield CT",1710,1 
"09001","0906.00","Fairfield CT",1343,1 
"09001","0907.00","Fairfield CT",1778,1 
"09001","1001.00","Fairfield CT",2179,1 
"09001","1002.00","Fairfield CT",2455,1 
"09001","1003.00","Fairfield CT",2284,1 
"09001","1051.00","Fairfield CT",1532,1 
"09001","1052.00","Fairfield CT",1224,1 
"09001","1101.00","Fairfield CT",1405,1 
"09001","1102.01","Fairfield CT",1982,1 
"09001","1102.02","Fairfield CT",2235,1 
"09001","1103.01","Fairfield CT",3024,1 
"09001","1103.02","Fairfield CT",1556,1 
"09001","1104.00","Fairfield CT",1821,1 
"09001","1105.00","Fairfield CT",2036,1 
"09001","1106.01","Fairfield CT",1083,1 
"09001","1106.02","Fairfield CT",2032,1 
"09001","2001.00","Fairfield CT",1644,1 
"09001","2002.00","Fairfield CT",2623,1 
"09001","2003.01","Fairfield CT",1773,1 
"09001","2003.02","Fairfield CT",1940,1 
"09001","2051.00","Fairfield CT",1923,1 
"09001","2052.00","Fairfield CT",2548,1 
"09001","2053.00","Fairfield CT",2645,1 
"09001","2101.01","Fairfield CT",1354,1 
"09001","2101.02","Fairfield CT",1448,1 
"09001","2102.01","Fairfield CT",1260,1 
"09001","2102.02","Fairfield CT",1027,1 
"09001","2103.00","Fairfield CT",2190,1 
"09001","2104.01","Fairfield CT",1801,1 
"09001","2104.02","Fairfield CT",1761,1 
"09001","2105.01","Fairfield CT",1383,1 
"09001","2105.02","Fairfield CT",3239,1 
"09001","2106.00","Fairfield CT",2460,1 
"09001","2107.01","Fairfield CT",1847,1 
"09001","2107.02","Fairfield CT",1350,1 
"09001","2108.00","Fairfield CT",2128,1 
"09001","2109.00","Fairfield CT",2209,1 
"09001","2110.00","Fairfield CT",1573,1 
"09001","2111.00","Fairfield CT",47,1 
"09001","2112.01","Fairfield CT",1518,1 
"09001","2112.02","Fairfield CT",1191,1 
"09001","2113.00","Fairfield CT",1459,1 
"09001","2114.00","Fairfield CT",2317,1 
"09001","2201.00","Fairfield CT",1837,1 
"09001","2202.00","Fairfield CT",1795,1 
"09001","2203.00","Fairfield CT",2003,1 
"09001","2301.00","Fairfield CT",3022,1 
"09001","2302.00","Fairfield CT",763,1 
"09001","2303.00","Fairfield CT",1291,1 
"09001","2304.00","Fairfield CT",2091,1 
"09001","2305.01","Fairfield CT",1498,1 
"09001","2305.02","Fairfield CT",1657,1 
"09001","2401.00","Fairfield CT",1884,1 
"09001","2402.00","Fairfield CT",1780,1 
"09001","2451.00","Fairfield CT",1003,1 
"09001","2452.00","Fairfield CT",1568,1 
"09001","2453.00","Fairfield CT",2462,1 
"09001","2454.00","Fairfield CT",1204,1 
"09001","2455.00","Fairfield CT",1118,1 
"09001","2456.00","Fairfield CT",2151,1 
"09001","2571.00","Fairfield CT",1834,1 
"09001","2572.00","Fairfield CT",1597,1 
"09003","3301.00","Hartford CT",843,1 
"09003","4001.01","Hartford CT",1436,1 
"09003","4001.02","Hartford CT",1848,1 
"09003","4002.00","Hartford CT",2351,1 
"09003","4003.00","Hartford CT",2936,1 
"09003","4051.00","Hartford CT",1376,1 
"09003","4052.00","Hartford CT",1964,1 
"09003","4053.00","Hartford CT",2800,1 
"09003","4054.01","Hartford CT",1449,1 
"09003","4054.02","Hartford CT",2231,1 
"09003","4055.00","Hartford CT",2327,1 
"09003","4056.00","Hartford CT",3113,1 
"09003","4057.00","Hartford CT",1109,1 
"09003","4058.01","Hartford CT",1466,1 
"09003","4058.02","Hartford CT",1727,1 
"09003","4059.00","Hartford CT",1840,1 
"09003","4060.01","Hartford CT",1778,1 
"09003","4060.02","Hartford CT",2163,1 
"09003","4061.00","Hartford CT",1908,1 
"09003","4101.01","Hartford CT",2008,1 
"09003","4101.02","Hartford CT",1620,1 
"09003","4153.00","Hartford CT",1039,1 
"09003","4154.00","Hartford CT",2505,1 
"09003","4155.00","Hartford CT",1280,1 
"09003","4156.00","Hartford CT",1864,1 
"09003","4157.00","Hartford CT",1448,1 
"09003","4158.00","Hartford CT",1310,1 
"09003","4159.00","Hartford CT",793,1 
"09003","4160.00","Hartford CT",2089,1 
"09003","4161.00","Hartford CT",2083,1 
"09003","4162.00","Hartford CT",1394,1 
"09003","4163.00","Hartford CT",1702,1 
"09003","4164.00","Hartford CT",1368,1 
"09003","4165.00","Hartford CT",1857,1 
"09003","4166.00","Hartford CT",1311,1 
"09003","4167.00","Hartford CT",2761,1 
"09003","4168.00","Hartford CT",1347,1 
"09003","4171.00","Hartford CT",1033,1 
"09003","4172.00","Hartford CT",814,1 
"09003","4173.00","Hartford CT",35,1 
"09003","4174.00","Hartford CT",1532,1 
"09003","4175.00","Hartford CT",1945,1 
"09003","4204.00","Hartford CT",1229,1 
"09003","4205.00","Hartford CT",2620,1 
"09003","4206.01","Hartford CT",1289,1 
"09003","4206.02","Hartford CT",1495,1 
"09003","4207.00","Hartford CT",1412,1 
"09003","4301.00","Hartford CT",1916,1 
"09003","4302.01","Hartford CT",1439,1 
"09003","4302.02","Hartford CT",1728,1 
"09003","4302.03","Hartford CT",1929,1 
"09003","4303.01","Hartford CT",1437,1 
"09003","4303.02","Hartford CT",1123,1 
"09003","4304.00","Hartford CT",2240,1 
"09003","4305.01","Hartford CT",675,1 
"09003","4305.02","Hartford CT",1862,1 
"09003","4306.02","Hartford CT",1425,1 
"09003","4306.03","Hartford CT",1065,1 
"09003","4306.04","Hartford CT",1306,1 
"09003","4601.00","Hartford CT",1458,1 
"09003","4602.02","Hartford CT",2195,1 
"09003","4602.03","Hartford CT",1578,1 
"09003","4602.04","Hartford CT",2675,1 
"09003","4603.01","Hartford CT",2067,1 
"09003","4603.02","Hartford CT",1694,1 
"09003","4621.01","Hartford CT",2607,1 
"09003","4621.02","Hartford CT",1483,1 
"09003","4622.01","Hartford CT",2332,1 
"09003","4622.02","Hartford CT",1291,1 
"09003","4641.01","Hartford CT",2061,1 
"09003","4641.02","Hartford CT",2322,1 
"09003","4661.01","Hartford CT",2516,1 
"09003","4661.02","Hartford CT",2136,1 
"09003","4662.01","Hartford CT",1175,1 
"09003","4662.02","Hartford CT",1341,1 
"09003","4663.00","Hartford CT",1820,1 
"09003","4664.00","Hartford CT",1069,1 
"09003","4681.01","Hartford CT",2667,1 
"09003","4681.02","Hartford CT",1781,1 
"09003","4701.00","Hartford CT",2183,1 
"09003","4711.00","Hartford CT",1362,1 
"09003","4712.00","Hartford CT",1200,1 
"09003","4713.00","Hartford CT",2499,1 
"09003","4714.00","Hartford CT",2785,1 
"09003","4715.00","Hartford CT",1871,1 
"09003","4731.00","Hartford CT",2289,1 
"09003","4734.00","Hartford CT",1084,1 
"09003","4735.01","Hartford CT",1849,1 
"09003","4735.02","Hartford CT",1457,1 
"09003","4736.01","Hartford CT",1364,1 
"09003","4736.02","Hartford CT",1031,1 
"09003","4737.00","Hartford CT",2242,1 
"09003","4738.00","Hartford CT",722,1 
"09003","4761.00","Hartford CT",2245,1 
"09003","4762.00","Hartford CT",1153,1 
"09003","4763.00","Hartford CT",2417,1 
"09003","4771.01","Hartford CT",1707,1 
"09003","4771.03","Hartford CT",1672,1 
"09003","4771.04","Hartford CT",1258,1 
"09003","4772.00","Hartford CT",1242,1 
"09003","4803.00","Hartford CT",953,1 
"09003","4804.00","Hartford CT",1465,1 
"09003","4805.00","Hartford CT",1387,1 
"09003","4806.00","Hartford CT",2297,1 
"09003","4807.00","Hartford CT",861,1 
"09003","4808.00","Hartford CT",2041,1 
"09003","4809.00","Hartford CT",916,1 
"09003","4810.00","Hartford CT",1314,1 
"09003","4811.00","Hartford CT",1549,1 
"09003","4812.00","Hartford CT",1764,1 
"09003","4813.00","Hartford CT",1196,1 
"09003","4841.00","Hartford CT",2814,1 
"09003","4842.00","Hartford CT",2534,1 
"09003","4871.00","Hartford CT",2617,1 
"09003","4872.01","Hartford CT",1789,1 
"09003","4872.02","Hartford CT",1162,1 
"09003","4873.00","Hartford CT",640,1 
"09003","4874.00","Hartford CT",1081,1 
"09003","4875.00","Hartford CT",3515,1 
"09003","4901.00","Hartford CT",2807,1 
"09003","4903.03","Hartford CT",2121,1 
"09003","4903.04","Hartford CT",1611,1 
"09003","4921.00","Hartford CT",1497,1 
"09003","4922.00","Hartford CT",1798,1 
"09003","4923.00","Hartford CT",2838,1 
"09003","4924.00","Hartford CT",1211,1 
"09003","4925.00","Hartford CT",1446,1 
"09003","4926.00","Hartford CT",3019,1 
"09003","4941.00","Hartford CT",2880,1 
"09003","4942.01","Hartford CT",1871,1 
"09003","4942.02","Hartford CT",1200,1 
"09003","4943.00","Hartford CT",1631,1 
"09003","4944.00","Hartford CT",2055,1 
"09003","4945.00","Hartford CT",1909,1 
"09003","4946.00","Hartford CT",1673,1 
"09003","4961.00","Hartford CT",1184,1 
"09003","4962.00","Hartford CT",2047,1 
"09003","4963.00","Hartford CT",1594,1 
"09003","4964.00","Hartford CT",1171,1 
"09003","4965.00","Hartford CT",1114,1 
"09003","4966.00","Hartford CT",1204,1 
"09003","4967.00","Hartford CT",1767,1 
"09003","4968.00","Hartford CT",1428,1 
"09003","4969.00","Hartford CT",3211,1 
"09003","4970.00","Hartford CT",1597,1 
"09003","4971.00","Hartford CT",2143,1 
"09003","4972.00","Hartford CT",973,1 
"09003","4973.00","Hartford CT",1812,1 
"09003","4974.00","Hartford CT",1519,1 
"09003","4975.00","Hartford CT",1777,1 
"09003","4976.00","Hartford CT",1018,1 
"09003","4977.00","Hartford CT",1681,1 
"09003","5001.00","Hartford CT",1540,1 
"09003","5002.00","Hartford CT",952,1 
"09003","5003.00","Hartford CT",1047,1 
"09003","5004.00","Hartford CT",849,1 
"09003","5005.00","Hartford CT",897,1 
"09003","5009.00","Hartford CT",831,1 
"09003","5012.00","Hartford CT",1027,1 
"09003","5013.00","Hartford CT",676,1 
"09003","5014.00","Hartford CT",1257,1 
"09003","5015.00","Hartford CT",1577,1 
"09003","5017.00","Hartford CT",574,1 
"09003","5018.00","Hartford CT",1170,1 
"09003","5021.00","Hartford CT",2291,1 
"09003","5023.00","Hartford CT",2162,1 
"09003","5024.00","Hartford CT",2342,1 
"09003","5025.00","Hartford CT",837,1 
"09003","5026.00","Hartford CT",1476,1 
"09003","5027.00","Hartford CT",1637,1 
"09003","5028.00","Hartford CT",1200,1 
"09003","5029.00","Hartford CT",1418,1 
"09003","5030.00","Hartford CT",1400,1 
"09003","5031.01","Hartford CT",926,1 
"09003","5031.02","Hartford CT",2021,1 
"09003","5033.00","Hartford CT",1532,1 
"09003","5035.00","Hartford CT",700,1 
"09003","5037.00","Hartford CT",1087,1 
"09003","5038.00","Hartford CT",60,1 
"09003","5039.00","Hartford CT",1853,1 
"09003","5040.00","Hartford CT",1242,1 
"09003","5041.00","Hartford CT",772,1 
"09003","5042.00","Hartford CT",2788,1 
"09003","5043.00","Hartford CT",884,1 
"09003","5045.00","Hartford CT",1378,1 
"09003","5048.00","Hartford CT",1721,1 
"09003","5049.00","Hartford CT",1705,1 
"09003","5101.00","Hartford CT",917,1 
"09003","5102.00","Hartford CT",1037,1 
"09003","5103.00","Hartford CT",1663,1 
"09003","5104.00","Hartford CT",2460,1 
"09003","5105.00","Hartford CT",1482,1 
"09003","5106.00","Hartford CT",2299,1 
"09003","5107.00","Hartford CT",2050,1 
"09003","5108.00","Hartford CT",1508,1 
"09003","5109.00","Hartford CT",1469,1 
"09003","5110.00","Hartford CT",1403,1 
"09003","5111.00","Hartford CT",1416,1 
"09003","5112.00","Hartford CT",1310,1 
"09003","5113.00","Hartford CT",1468,1 
"09003","5114.00","Hartford CT",879,1 
"09003","5141.01","Hartford CT",1311,1 
"09003","5141.03","Hartford CT",2058,1 
"09003","5141.04","Hartford CT",2001,1 
"09003","5142.00","Hartford CT",1554,1 
"09003","5143.00","Hartford CT",1826,1 
"09003","5144.00","Hartford CT",2076,1 
"09003","5145.00","Hartford CT",1893,1 
"09003","5146.00","Hartford CT",2547,1 
"09003","5147.00","Hartford CT",2289,1 
"09003","5148.00","Hartford CT",1441,1 
"09003","5149.00","Hartford CT",1235,1 
